unit,indic_il,age,sex,geotime,date,value
PC,LI_R_MD60,Y_GE65,M,NO,2012-01-01,3.8
PC,LI_R_MD60,Y_GE65,M,NO,2013-01-01,3.4
PC,LI_R_MD60,Y_GE65,M,NO,2014-01-01,3.9
PC,LI_R_MD60,Y_GE65,M,NO,2015-01-01,3.0
PC,LI_R_MD60,Y_GE65,M,NO,2016-01-01,3.3
PC,LI_R_MD60,Y_GE65,M,NO,2017-01-01,3.5
PC,LI_R_MD60,Y_GE65,M,PL,2006-01-01,5.7
PC,LI_R_MD60,Y_GE65,M,PL,2007-01-01,5.6
PC,LI_R_MD60,Y_GE65,M,PL,2008-01-01,8.9
PC,LI_R_MD60,Y_GE65,M,PL,2009-01-01,10.9
PC,LI_R_MD60,Y_GE65,M,PL,2010-01-01,9.9
PC,LI_R_MD60,Y_GE65,M,PL,2011-01-01,10.2
PC,LI_R_MD60,Y_GE65,M,PL,2012-01-01,9.4
PC,LI_R_MD60,Y_GE65,M,PL,2013-01-01,8.5
PC,LI_R_MD60,Y_GE65,M,PL,2014-01-01,8.4
PC,LI_R_MD60,Y_GE65,M,PL,2015-01-01,9.2
PC,LI_R_MD60,Y_GE65,M,PL,2016-01-01,9.1
PC,LI_R_MD60,Y_GE65,M,PL,2017-01-01,10.7
PC,LI_R_MD60,Y_GE65,M,PT,2006-01-01,25.8
PC,LI_R_MD60,Y_GE65,M,PT,2007-01-01,23.6
PC,LI_R_MD60,Y_GE65,M,PT,2008-01-01,19.2
PC,LI_R_MD60,Y_GE65,M,PT,2009-01-01,17.7
PC,LI_R_MD60,Y_GE65,M,PT,2010-01-01,17.5
PC,LI_R_MD60,Y_GE65,M,PT,2011-01-01,18.0
PC,LI_R_MD60,Y_GE65,M,PT,2012-01-01,16.1
PC,LI_R_MD60,Y_GE65,M,PT,2013-01-01,13.7
PC,LI_R_MD60,Y_GE65,M,PT,2014-01-01,12.6
PC,LI_R_MD60,Y_GE65,M,PT,2015-01-01,14.2
PC,LI_R_MD60,Y_GE65,M,PT,2016-01-01,16.0
PC,LI_R_MD60,Y_GE65,M,PT,2017-01-01,15.2
PC,LI_R_MD60,Y_GE65,M,RO,2006-01-01,
PC,LI_R_MD60,Y_GE65,M,RO,2007-01-01,22.9
PC,LI_R_MD60,Y_GE65,M,RO,2008-01-01,20.6
PC,LI_R_MD60,Y_GE65,M,RO,2009-01-01,14.8
PC,LI_R_MD60,Y_GE65,M,RO,2010-01-01,11.1
PC,LI_R_MD60,Y_GE65,M,RO,2011-01-01,8.7
PC,LI_R_MD60,Y_GE65,M,RO,2012-01-01,8.7
PC,LI_R_MD60,Y_GE65,M,RO,2013-01-01,9.1
PC,LI_R_MD60,Y_GE65,M,RO,2014-01-01,9.7
PC,LI_R_MD60,Y_GE65,M,RO,2015-01-01,13.3
PC,LI_R_MD60,Y_GE65,M,RO,2016-01-01,12.2
PC,LI_R_MD60,Y_GE65,M,RO,2017-01-01,13.2
PC,LI_R_MD60,Y_GE65,M,RS,2006-01-01,
PC,LI_R_MD60,Y_GE65,M,RS,2007-01-01,
PC,LI_R_MD60,Y_GE65,M,RS,2008-01-01,
PC,LI_R_MD60,Y_GE65,M,RS,2009-01-01,
PC,LI_R_MD60,Y_GE65,M,RS,2010-01-01,
PC,LI_R_MD60,Y_GE65,M,RS,2011-01-01,
PC,LI_R_MD60,Y_GE65,M,RS,2012-01-01,
PC,LI_R_MD60,Y_GE65,M,RS,2013-01-01,15.5
PC,LI_R_MD60,Y_GE65,M,RS,2014-01-01,17.8
PC,LI_R_MD60,Y_GE65,M,RS,2015-01-01,16.8
PC,LI_R_MD60,Y_GE65,M,RS,2016-01-01,15.2
PC,LI_R_MD60,Y_GE65,M,RS,2017-01-01,
PC,LI_R_MD60,Y_GE65,M,SE,2006-01-01,6.2
PC,LI_R_MD60,Y_GE65,M,SE,2007-01-01,6.1
PC,LI_R_MD60,Y_GE65,M,SE,2008-01-01,9.5
PC,LI_R_MD60,Y_GE65,M,SE,2009-01-01,9.6
PC,LI_R_MD60,Y_GE65,M,SE,2010-01-01,8.3
PC,LI_R_MD60,Y_GE65,M,SE,2011-01-01,9.0
PC,LI_R_MD60,Y_GE65,M,SE,2012-01-01,9.8
PC,LI_R_MD60,Y_GE65,M,SE,2013-01-01,8.5
PC,LI_R_MD60,Y_GE65,M,SE,2014-01-01,8.5
PC,LI_R_MD60,Y_GE65,M,SE,2015-01-01,10.4
PC,LI_R_MD60,Y_GE65,M,SE,2016-01-01,11.1
PC,LI_R_MD60,Y_GE65,M,SE,2017-01-01,10.8
PC,LI_R_MD60,Y_GE65,M,SI,2006-01-01,12.0
PC,LI_R_MD60,Y_GE65,M,SI,2007-01-01,10.8
PC,LI_R_MD60,Y_GE65,M,SI,2008-01-01,11.7
PC,LI_R_MD60,Y_GE65,M,SI,2009-01-01,11.4
PC,LI_R_MD60,Y_GE65,M,SI,2010-01-01,9.5
PC,LI_R_MD60,Y_GE65,M,SI,2011-01-01,10.5
PC,LI_R_MD60,Y_GE65,M,SI,2012-01-01,11.7
PC,LI_R_MD60,Y_GE65,M,SI,2013-01-01,13.2
PC,LI_R_MD60,Y_GE65,M,SI,2014-01-01,10.8
PC,LI_R_MD60,Y_GE65,M,SI,2015-01-01,10.2
PC,LI_R_MD60,Y_GE65,M,SI,2016-01-01,10.8
PC,LI_R_MD60,Y_GE65,M,SI,2017-01-01,10.4
PC,LI_R_MD60,Y_GE65,M,SK,2006-01-01,4.5
PC,LI_R_MD60,Y_GE65,M,SK,2007-01-01,3.1
PC,LI_R_MD60,Y_GE65,M,SK,2008-01-01,3.8
PC,LI_R_MD60,Y_GE65,M,SK,2009-01-01,4.5
PC,LI_R_MD60,Y_GE65,M,SK,2010-01-01,3.9
PC,LI_R_MD60,Y_GE65,M,SK,2011-01-01,3.4
PC,LI_R_MD60,Y_GE65,M,SK,2012-01-01,5.9
PC,LI_R_MD60,Y_GE65,M,SK,2013-01-01,3.3
PC,LI_R_MD60,Y_GE65,M,SK,2014-01-01,4.1
PC,LI_R_MD60,Y_GE65,M,SK,2015-01-01,3.4
PC,LI_R_MD60,Y_GE65,M,SK,2016-01-01,4.3
PC,LI_R_MD60,Y_GE65,M,SK,2017-01-01,4.9
PC,LI_R_MD60,Y_GE65,M,TR,2006-01-01,18.8
PC,LI_R_MD60,Y_GE65,M,TR,2007-01-01,17.6
PC,LI_R_MD60,Y_GE65,M,TR,2008-01-01,17.9
PC,LI_R_MD60,Y_GE65,M,TR,2009-01-01,20.0
PC,LI_R_MD60,Y_GE65,M,TR,2010-01-01,18.9
PC,LI_R_MD60,Y_GE65,M,TR,2011-01-01,17.5
PC,LI_R_MD60,Y_GE65,M,TR,2012-01-01,18.6
PC,LI_R_MD60,Y_GE65,M,TR,2013-01-01,17.2
PC,LI_R_MD60,Y_GE65,M,TR,2014-01-01,18.9
PC,LI_R_MD60,Y_GE65,M,TR,2015-01-01,17.6
PC,LI_R_MD60,Y_GE65,M,TR,2016-01-01,
PC,LI_R_MD60,Y_GE65,M,TR,2017-01-01,
PC,LI_R_MD60,Y_GE65,M,UK,2006-01-01,22.4
PC,LI_R_MD60,Y_GE65,M,UK,2007-01-01,23.4
PC,LI_R_MD60,Y_GE65,M,UK,2008-01-01,24.4
PC,LI_R_MD60,Y_GE65,M,UK,2009-01-01,20.0
PC,LI_R_MD60,Y_GE65,M,UK,2010-01-01,17.6
PC,LI_R_MD60,Y_GE65,M,UK,2011-01-01,18.2
PC,LI_R_MD60,Y_GE65,M,UK,2012-01-01,14.9
PC,LI_R_MD60,Y_GE65,M,UK,2013-01-01,14.6
PC,LI_R_MD60,Y_GE65,M,UK,2014-01-01,14.9
PC,LI_R_MD60,Y_GE65,M,UK,2015-01-01,15.0
PC,LI_R_MD60,Y_GE65,M,UK,2016-01-01,14.4
PC,LI_R_MD60,Y_GE65,M,UK,2017-01-01,
PC,LI_R_MD60,Y_GE65,T,AT,2006-01-01,16.2
PC,LI_R_MD60,Y_GE65,T,AT,2007-01-01,14.0
PC,LI_R_MD60,Y_GE65,T,AT,2008-01-01,18.9
PC,LI_R_MD60,Y_GE65,T,AT,2009-01-01,17.4
PC,LI_R_MD60,Y_GE65,T,AT,2010-01-01,16.8
PC,LI_R_MD60,Y_GE65,T,AT,2011-01-01,16.2
PC,LI_R_MD60,Y_GE65,T,AT,2012-01-01,15.1
PC,LI_R_MD60,Y_GE65,T,AT,2013-01-01,15.4
PC,LI_R_MD60,Y_GE65,T,AT,2014-01-01,14.2
PC,LI_R_MD60,Y_GE65,T,AT,2015-01-01,13.2
PC,LI_R_MD60,Y_GE65,T,AT,2016-01-01,13.2
PC,LI_R_MD60,Y_GE65,T,AT,2017-01-01,12.9
PC,LI_R_MD60,Y_GE65,T,BE,2006-01-01,23.2
PC,LI_R_MD60,Y_GE65,T,BE,2007-01-01,23.0
PC,LI_R_MD60,Y_GE65,T,BE,2008-01-01,21.2
PC,LI_R_MD60,Y_GE65,T,BE,2009-01-01,21.6
PC,LI_R_MD60,Y_GE65,T,BE,2010-01-01,19.4
PC,LI_R_MD60,Y_GE65,T,BE,2011-01-01,20.2
PC,LI_R_MD60,Y_GE65,T,BE,2012-01-01,19.4
PC,LI_R_MD60,Y_GE65,T,BE,2013-01-01,18.4
PC,LI_R_MD60,Y_GE65,T,BE,2014-01-01,16.1
PC,LI_R_MD60,Y_GE65,T,BE,2015-01-01,15.2
PC,LI_R_MD60,Y_GE65,T,BE,2016-01-01,15.4
PC,LI_R_MD60,Y_GE65,T,BE,2017-01-01,16.0
PC,LI_R_MD60,Y_GE65,T,BG,2006-01-01,19.9
PC,LI_R_MD60,Y_GE65,T,BG,2007-01-01,23.9
PC,LI_R_MD60,Y_GE65,T,BG,2008-01-01,33.8
PC,LI_R_MD60,Y_GE65,T,BG,2009-01-01,39.3
PC,LI_R_MD60,Y_GE65,T,BG,2010-01-01,32.2
PC,LI_R_MD60,Y_GE65,T,BG,2011-01-01,31.2
PC,LI_R_MD60,Y_GE65,T,BG,2012-01-01,28.2
PC,LI_R_MD60,Y_GE65,T,BG,2013-01-01,27.9
PC,LI_R_MD60,Y_GE65,T,BG,2014-01-01,22.6
PC,LI_R_MD60,Y_GE65,T,BG,2015-01-01,31.7
PC,LI_R_MD60,Y_GE65,T,BG,2016-01-01,24.3
PC,LI_R_MD60,Y_GE65,T,BG,2017-01-01,32.0
PC,LI_R_MD60,Y_GE65,T,CH,2006-01-01,
PC,LI_R_MD60,Y_GE65,T,CH,2007-01-01,26.1
PC,LI_R_MD60,Y_GE65,T,CH,2008-01-01,27.2
PC,LI_R_MD60,Y_GE65,T,CH,2009-01-01,30.2
PC,LI_R_MD60,Y_GE65,T,CH,2010-01-01,27.6
PC,LI_R_MD60,Y_GE65,T,CH,2011-01-01,28.1
PC,LI_R_MD60,Y_GE65,T,CH,2012-01-01,29.9
PC,LI_R_MD60,Y_GE65,T,CH,2013-01-01,29.5
PC,LI_R_MD60,Y_GE65,T,CH,2014-01-01,25.7
PC,LI_R_MD60,Y_GE65,T,CH,2015-01-01,26.5
PC,LI_R_MD60,Y_GE65,T,CH,2016-01-01,25.2
PC,LI_R_MD60,Y_GE65,T,CH,2017-01-01,
PC,LI_R_MD60,Y_GE65,T,CY,2006-01-01,51.9
PC,LI_R_MD60,Y_GE65,T,CY,2007-01-01,50.6
PC,LI_R_MD60,Y_GE65,T,CY,2008-01-01,46.3
PC,LI_R_MD60,Y_GE65,T,CY,2009-01-01,46.4
PC,LI_R_MD60,Y_GE65,T,CY,2010-01-01,39.9
PC,LI_R_MD60,Y_GE65,T,CY,2011-01-01,35.5
PC,LI_R_MD60,Y_GE65,T,CY,2012-01-01,29.3
PC,LI_R_MD60,Y_GE65,T,CY,2013-01-01,20.1
PC,LI_R_MD60,Y_GE65,T,CY,2014-01-01,22.4
PC,LI_R_MD60,Y_GE65,T,CY,2015-01-01,17.3
PC,LI_R_MD60,Y_GE65,T,CY,2016-01-01,19.5
PC,LI_R_MD60,Y_GE65,T,CY,2017-01-01,21.6
PC,LI_R_MD60,Y_GE65,T,CZ,2006-01-01,5.9
PC,LI_R_MD60,Y_GE65,T,CZ,2007-01-01,5.5
PC,LI_R_MD60,Y_GE65,T,CZ,2008-01-01,7.4
PC,LI_R_MD60,Y_GE65,T,CZ,2009-01-01,7.2
PC,LI_R_MD60,Y_GE65,T,CZ,2010-01-01,6.8
PC,LI_R_MD60,Y_GE65,T,CZ,2011-01-01,6.6
PC,LI_R_MD60,Y_GE65,T,CZ,2012-01-01,6.0
PC,LI_R_MD60,Y_GE65,T,CZ,2013-01-01,5.8
PC,LI_R_MD60,Y_GE65,T,CZ,2014-01-01,7.0
PC,LI_R_MD60,Y_GE65,T,CZ,2015-01-01,7.4
PC,LI_R_MD60,Y_GE65,T,CZ,2016-01-01,8.1
PC,LI_R_MD60,Y_GE65,T,CZ,2017-01-01,10.7
PC,LI_R_MD60,Y_GE65,T,DE,2006-01-01,12.5
PC,LI_R_MD60,Y_GE65,T,DE,2007-01-01,16.2
PC,LI_R_MD60,Y_GE65,T,DE,2008-01-01,14.9
PC,LI_R_MD60,Y_GE65,T,DE,2009-01-01,15.0
PC,LI_R_MD60,Y_GE65,T,DE,2010-01-01,14.1
PC,LI_R_MD60,Y_GE65,T,DE,2011-01-01,14.2
PC,LI_R_MD60,Y_GE65,T,DE,2012-01-01,15.0
PC,LI_R_MD60,Y_GE65,T,DE,2013-01-01,14.9
PC,LI_R_MD60,Y_GE65,T,DE,2014-01-01,16.3
PC,LI_R_MD60,Y_GE65,T,DE,2015-01-01,16.5
PC,LI_R_MD60,Y_GE65,T,DE,2016-01-01,17.6
PC,LI_R_MD60,Y_GE65,T,DE,2017-01-01,17.0
PC,LI_R_MD60,Y_GE65,T,DK,2006-01-01,17.4
PC,LI_R_MD60,Y_GE65,T,DK,2007-01-01,17.7
PC,LI_R_MD60,Y_GE65,T,DK,2008-01-01,18.1
PC,LI_R_MD60,Y_GE65,T,DK,2009-01-01,20.1
PC,LI_R_MD60,Y_GE65,T,DK,2010-01-01,17.7
PC,LI_R_MD60,Y_GE65,T,DK,2011-01-01,13.9
PC,LI_R_MD60,Y_GE65,T,DK,2012-01-01,12.8
PC,LI_R_MD60,Y_GE65,T,DK,2013-01-01,10.1
PC,LI_R_MD60,Y_GE65,T,DK,2014-01-01,9.8
PC,LI_R_MD60,Y_GE65,T,DK,2015-01-01,9.1
PC,LI_R_MD60,Y_GE65,T,DK,2016-01-01,8.5
PC,LI_R_MD60,Y_GE65,T,DK,2017-01-01,8.8
PC,LI_R_MD60,Y_GE65,T,EA18,2006-01-01,18.7
PC,LI_R_MD60,Y_GE65,T,EA18,2007-01-01,19.0
PC,LI_R_MD60,Y_GE65,T,EA18,2008-01-01,18.0
PC,LI_R_MD60,Y_GE65,T,EA18,2009-01-01,17.3
PC,LI_R_MD60,Y_GE65,T,EA18,2010-01-01,15.2
PC,LI_R_MD60,Y_GE65,T,EA18,2011-01-01,15.1
PC,LI_R_MD60,Y_GE65,T,EA18,2012-01-01,14.1
PC,LI_R_MD60,Y_GE65,T,EA18,2013-01-01,13.3
PC,LI_R_MD60,Y_GE65,T,EA18,2014-01-01,13.2
PC,LI_R_MD60,Y_GE65,T,EA18,2015-01-01,13.4
PC,LI_R_MD60,Y_GE65,T,EA18,2016-01-01,14.0
PC,LI_R_MD60,Y_GE65,T,EA18,2017-01-01,14.1
PC,LI_R_MD60,Y_GE65,T,EA19,2006-01-01,18.8
PC,LI_R_MD60,Y_GE65,T,EA19,2007-01-01,19.1
PC,LI_R_MD60,Y_GE65,T,EA19,2008-01-01,18.2
PC,LI_R_MD60,Y_GE65,T,EA19,2009-01-01,17.4
PC,LI_R_MD60,Y_GE65,T,EA19,2010-01-01,15.2
PC,LI_R_MD60,Y_GE65,T,EA19,2011-01-01,15.1
PC,LI_R_MD60,Y_GE65,T,EA19,2012-01-01,14.1
PC,LI_R_MD60,Y_GE65,T,EA19,2013-01-01,13.3
PC,LI_R_MD60,Y_GE65,T,EA19,2014-01-01,13.3
PC,LI_R_MD60,Y_GE65,T,EA19,2015-01-01,13.5
PC,LI_R_MD60,Y_GE65,T,EA19,2016-01-01,14.2
PC,LI_R_MD60,Y_GE65,T,EA19,2017-01-01,14.3
PC,LI_R_MD60,Y_GE65,T,EE,2006-01-01,25.1
PC,LI_R_MD60,Y_GE65,T,EE,2007-01-01,33.2
PC,LI_R_MD60,Y_GE65,T,EE,2008-01-01,39.0
PC,LI_R_MD60,Y_GE65,T,EE,2009-01-01,33.9
PC,LI_R_MD60,Y_GE65,T,EE,2010-01-01,15.1
PC,LI_R_MD60,Y_GE65,T,EE,2011-01-01,13.1
PC,LI_R_MD60,Y_GE65,T,EE,2012-01-01,17.2
PC,LI_R_MD60,Y_GE65,T,EE,2013-01-01,24.4
PC,LI_R_MD60,Y_GE65,T,EE,2014-01-01,32.6
PC,LI_R_MD60,Y_GE65,T,EE,2015-01-01,35.8
PC,LI_R_MD60,Y_GE65,T,EE,2016-01-01,40.2
PC,LI_R_MD60,Y_GE65,T,EE,2017-01-01,41.2
PC,LI_R_MD60,Y_GE65,T,EL,2006-01-01,25.6
PC,LI_R_MD60,Y_GE65,T,EL,2007-01-01,22.9
PC,LI_R_MD60,Y_GE65,T,EL,2008-01-01,22.3
PC,LI_R_MD60,Y_GE65,T,EL,2009-01-01,21.4
PC,LI_R_MD60,Y_GE65,T,EL,2010-01-01,21.3
PC,LI_R_MD60,Y_GE65,T,EL,2011-01-01,23.6
PC,LI_R_MD60,Y_GE65,T,EL,2012-01-01,17.2
PC,LI_R_MD60,Y_GE65,T,EL,2013-01-01,15.1
PC,LI_R_MD60,Y_GE65,T,EL,2014-01-01,14.9
PC,LI_R_MD60,Y_GE65,T,EL,2015-01-01,13.7
PC,LI_R_MD60,Y_GE65,T,EL,2016-01-01,12.4
PC,LI_R_MD60,Y_GE65,T,EL,2017-01-01,12.4
PC,LI_R_MD60,Y_GE65,T,ES,2006-01-01,29.3
PC,LI_R_MD60,Y_GE65,T,ES,2007-01-01,26.1
PC,LI_R_MD60,Y_GE65,T,ES,2008-01-01,25.5
PC,LI_R_MD60,Y_GE65,T,ES,2009-01-01,23.8
PC,LI_R_MD60,Y_GE65,T,ES,2010-01-01,21.8
PC,LI_R_MD60,Y_GE65,T,ES,2011-01-01,19.8
PC,LI_R_MD60,Y_GE65,T,ES,2012-01-01,14.8
PC,LI_R_MD60,Y_GE65,T,ES,2013-01-01,12.7
PC,LI_R_MD60,Y_GE65,T,ES,2014-01-01,11.4
PC,LI_R_MD60,Y_GE65,T,ES,2015-01-01,12.3
PC,LI_R_MD60,Y_GE65,T,ES,2016-01-01,13.0
PC,LI_R_MD60,Y_GE65,T,ES,2017-01-01,14.8
PC,LI_R_MD60,Y_GE65,T,EU27,2006-01-01,18.9
PC,LI_R_MD60,Y_GE65,T,EU27,2007-01-01,19.1
PC,LI_R_MD60,Y_GE65,T,EU27,2008-01-01,18.9
PC,LI_R_MD60,Y_GE65,T,EU27,2009-01-01,17.9
PC,LI_R_MD60,Y_GE65,T,EU27,2010-01-01,15.9
PC,LI_R_MD60,Y_GE65,T,EU27,2011-01-01,15.8
PC,LI_R_MD60,Y_GE65,T,EU27,2012-01-01,14.4
PC,LI_R_MD60,Y_GE65,T,EU27,2013-01-01,13.6
PC,LI_R_MD60,Y_GE65,T,EU27,2014-01-01,13.6
PC,LI_R_MD60,Y_GE65,T,EU27,2015-01-01,14.0
PC,LI_R_MD60,Y_GE65,T,EU27,2016-01-01,14.5
PC,LI_R_MD60,Y_GE65,T,EU27,2017-01-01,14.6
PC,LI_R_MD60,Y_GE65,T,EU28,2006-01-01,
PC,LI_R_MD60,Y_GE65,T,EU28,2007-01-01,
PC,LI_R_MD60,Y_GE65,T,EU28,2008-01-01,
PC,LI_R_MD60,Y_GE65,T,EU28,2009-01-01,
PC,LI_R_MD60,Y_GE65,T,EU28,2010-01-01,16.0
PC,LI_R_MD60,Y_GE65,T,EU28,2011-01-01,15.9
PC,LI_R_MD60,Y_GE65,T,EU28,2012-01-01,14.5
PC,LI_R_MD60,Y_GE65,T,EU28,2013-01-01,13.7
PC,LI_R_MD60,Y_GE65,T,EU28,2014-01-01,13.7
PC,LI_R_MD60,Y_GE65,T,EU28,2015-01-01,14.1
PC,LI_R_MD60,Y_GE65,T,EU28,2016-01-01,14.6
PC,LI_R_MD60,Y_GE65,T,EU28,2017-01-01,14.6
PC,LI_R_MD60,Y_GE65,T,FI,2006-01-01,21.8
PC,LI_R_MD60,Y_GE65,T,FI,2007-01-01,21.6
PC,LI_R_MD60,Y_GE65,T,FI,2008-01-01,22.5
PC,LI_R_MD60,Y_GE65,T,FI,2009-01-01,22.1
PC,LI_R_MD60,Y_GE65,T,FI,2010-01-01,18.3
PC,LI_R_MD60,Y_GE65,T,FI,2011-01-01,18.9
PC,LI_R_MD60,Y_GE65,T,FI,2012-01-01,18.4
PC,LI_R_MD60,Y_GE65,T,FI,2013-01-01,16.1
PC,LI_R_MD60,Y_GE65,T,FI,2014-01-01,16.0
PC,LI_R_MD60,Y_GE65,T,FI,2015-01-01,13.8
PC,LI_R_MD60,Y_GE65,T,FI,2016-01-01,12.3
PC,LI_R_MD60,Y_GE65,T,FI,2017-01-01,12.3
PC,LI_R_MD60,Y_GE65,T,FR,2006-01-01,16.1
PC,LI_R_MD60,Y_GE65,T,FR,2007-01-01,13.1
PC,LI_R_MD60,Y_GE65,T,FR,2008-01-01,11.9
PC,LI_R_MD60,Y_GE65,T,FR,2009-01-01,11.9
PC,LI_R_MD60,Y_GE65,T,FR,2010-01-01,9.4
PC,LI_R_MD60,Y_GE65,T,FR,2011-01-01,9.7
PC,LI_R_MD60,Y_GE65,T,FR,2012-01-01,9.4
PC,LI_R_MD60,Y_GE65,T,FR,2013-01-01,9.1
PC,LI_R_MD60,Y_GE65,T,FR,2014-01-01,8.6
PC,LI_R_MD60,Y_GE65,T,FR,2015-01-01,8.0
PC,LI_R_MD60,Y_GE65,T,FR,2016-01-01,8.2
PC,LI_R_MD60,Y_GE65,T,FR,2017-01-01,7.8
PC,LI_R_MD60,Y_GE65,T,HR,2006-01-01,
PC,LI_R_MD60,Y_GE65,T,HR,2007-01-01,
PC,LI_R_MD60,Y_GE65,T,HR,2008-01-01,
PC,LI_R_MD60,Y_GE65,T,HR,2009-01-01,
PC,LI_R_MD60,Y_GE65,T,HR,2010-01-01,30.5
PC,LI_R_MD60,Y_GE65,T,HR,2011-01-01,29.4
PC,LI_R_MD60,Y_GE65,T,HR,2012-01-01,25.6
PC,LI_R_MD60,Y_GE65,T,HR,2013-01-01,23.4
PC,LI_R_MD60,Y_GE65,T,HR,2014-01-01,23.1
PC,LI_R_MD60,Y_GE65,T,HR,2015-01-01,26.3
PC,LI_R_MD60,Y_GE65,T,HR,2016-01-01,26.5
PC,LI_R_MD60,Y_GE65,T,HR,2017-01-01,
PC,LI_R_MD60,Y_GE65,T,HU,2006-01-01,9.4
PC,LI_R_MD60,Y_GE65,T,HU,2007-01-01,6.1
PC,LI_R_MD60,Y_GE65,T,HU,2008-01-01,4.3
PC,LI_R_MD60,Y_GE65,T,HU,2009-01-01,4.6
PC,LI_R_MD60,Y_GE65,T,HU,2010-01-01,4.1
PC,LI_R_MD60,Y_GE65,T,HU,2011-01-01,4.9
PC,LI_R_MD60,Y_GE65,T,HU,2012-01-01,6.3
PC,LI_R_MD60,Y_GE65,T,HU,2013-01-01,4.6
PC,LI_R_MD60,Y_GE65,T,HU,2014-01-01,4.5
PC,LI_R_MD60,Y_GE65,T,HU,2015-01-01,4.6
PC,LI_R_MD60,Y_GE65,T,HU,2016-01-01,6.8
PC,LI_R_MD60,Y_GE65,T,HU,2017-01-01,9.1
PC,LI_R_MD60,Y_GE65,T,IE,2006-01-01,26.9
PC,LI_R_MD60,Y_GE65,T,IE,2007-01-01,28.3
PC,LI_R_MD60,Y_GE65,T,IE,2008-01-01,21.1
PC,LI_R_MD60,Y_GE65,T,IE,2009-01-01,16.2
PC,LI_R_MD60,Y_GE65,T,IE,2010-01-01,9.9
PC,LI_R_MD60,Y_GE65,T,IE,2011-01-01,11.0
PC,LI_R_MD60,Y_GE65,T,IE,2012-01-01,12.8
PC,LI_R_MD60,Y_GE65,T,IE,2013-01-01,10.6
PC,LI_R_MD60,Y_GE65,T,IE,2014-01-01,11.4
PC,LI_R_MD60,Y_GE65,T,IE,2015-01-01,14.2
PC,LI_R_MD60,Y_GE65,T,IE,2016-01-01,16.0
PC,LI_R_MD60,Y_GE65,T,IE,2017-01-01,
PC,LI_R_MD60,Y_GE65,T,IS,2006-01-01,11.8
PC,LI_R_MD60,Y_GE65,T,IS,2007-01-01,15.1
PC,LI_R_MD60,Y_GE65,T,IS,2008-01-01,15.0
PC,LI_R_MD60,Y_GE65,T,IS,2009-01-01,12.4
PC,LI_R_MD60,Y_GE65,T,IS,2010-01-01,4.9
PC,LI_R_MD60,Y_GE65,T,IS,2011-01-01,4.3
PC,LI_R_MD60,Y_GE65,T,IS,2012-01-01,4.5
PC,LI_R_MD60,Y_GE65,T,IS,2013-01-01,4.0
PC,LI_R_MD60,Y_GE65,T,IS,2014-01-01,6.9
PC,LI_R_MD60,Y_GE65,T,IS,2015-01-01,5.8
PC,LI_R_MD60,Y_GE65,T,IS,2016-01-01,5.9
PC,LI_R_MD60,Y_GE65,T,IS,2017-01-01,
PC,LI_R_MD60,Y_GE65,T,IT,2006-01-01,21.7
PC,LI_R_MD60,Y_GE65,T,IT,2007-01-01,22.2
PC,LI_R_MD60,Y_GE65,T,IT,2008-01-01,20.9
PC,LI_R_MD60,Y_GE65,T,IT,2009-01-01,19.6
PC,LI_R_MD60,Y_GE65,T,IT,2010-01-01,16.7
PC,LI_R_MD60,Y_GE65,T,IT,2011-01-01,17.0
PC,LI_R_MD60,Y_GE65,T,IT,2012-01-01,16.1
PC,LI_R_MD60,Y_GE65,T,IT,2013-01-01,15.0
PC,LI_R_MD60,Y_GE65,T,IT,2014-01-01,14.2
PC,LI_R_MD60,Y_GE65,T,IT,2015-01-01,14.7
PC,LI_R_MD60,Y_GE65,T,IT,2016-01-01,15.3
PC,LI_R_MD60,Y_GE65,T,IT,2017-01-01,15.6
PC,LI_R_MD60,Y_GE65,T,LT,2006-01-01,22.0
PC,LI_R_MD60,Y_GE65,T,LT,2007-01-01,29.8
PC,LI_R_MD60,Y_GE65,T,LT,2008-01-01,31.0
PC,LI_R_MD60,Y_GE65,T,LT,2009-01-01,23.9
PC,LI_R_MD60,Y_GE65,T,LT,2010-01-01,9.6
PC,LI_R_MD60,Y_GE65,T,LT,2011-01-01,9.7
PC,LI_R_MD60,Y_GE65,T,LT,2012-01-01,18.7
PC,LI_R_MD60,Y_GE65,T,LT,2013-01-01,19.4
PC,LI_R_MD60,Y_GE65,T,LT,2014-01-01,20.1
PC,LI_R_MD60,Y_GE65,T,LT,2015-01-01,25.0
PC,LI_R_MD60,Y_GE65,T,LT,2016-01-01,27.7
PC,LI_R_MD60,Y_GE65,T,LT,2017-01-01,33.4
PC,LI_R_MD60,Y_GE65,T,LU,2006-01-01,7.9
PC,LI_R_MD60,Y_GE65,T,LU,2007-01-01,7.2
PC,LI_R_MD60,Y_GE65,T,LU,2008-01-01,5.4
PC,LI_R_MD60,Y_GE65,T,LU,2009-01-01,6.0
PC,LI_R_MD60,Y_GE65,T,LU,2010-01-01,5.9
PC,LI_R_MD60,Y_GE65,T,LU,2011-01-01,4.7
PC,LI_R_MD60,Y_GE65,T,LU,2012-01-01,6.1
PC,LI_R_MD60,Y_GE65,T,LU,2013-01-01,6.2
PC,LI_R_MD60,Y_GE65,T,LU,2014-01-01,6.3
