unit,sex,age,incgrp,geotime,date,value
PC,T,TOTAL,A_MD60,FR,2006-01-01,12
PC,T,TOTAL,A_MD60,FR,2007-01-01,12
PC,T,TOTAL,A_MD60,FR,2008-01-01,11
PC,T,TOTAL,A_MD60,FR,2009-01-01,12
PC,T,TOTAL,A_MD60,FR,2010-01-01,11
PC,T,TOTAL,A_MD60,FR,2011-01-01,11
PC,T,TOTAL,A_MD60,FR,2012-01-01,11
PC,T,TOTAL,A_MD60,FR,2013-01-01,
PC,T,TOTAL,A_MD60,FR,2014-01-01,11
PC,T,TOTAL,A_MD60,FR,2015-01-01,
PC,T,TOTAL,A_MD60,FR,2016-01-01,11
PC,T,TOTAL,A_MD60,FR,2017-01-01,10
PC,T,TOTAL,A_MD60,HR,2006-01-01,
PC,T,TOTAL,A_MD60,HR,2007-01-01,
PC,T,TOTAL,A_MD60,HR,2008-01-01,
PC,T,TOTAL,A_MD60,HR,2009-01-01,
PC,T,TOTAL,A_MD60,HR,2010-01-01,17
PC,T,TOTAL,A_MD60,HR,2011-01-01,11
PC,T,TOTAL,A_MD60,HR,2012-01-01,12
PC,T,TOTAL,A_MD60,HR,2013-01-01,
PC,T,TOTAL,A_MD60,HR,2014-01-01,14
PC,T,TOTAL,A_MD60,HR,2015-01-01,
PC,T,TOTAL,A_MD60,HR,2016-01-01,12
PC,T,TOTAL,A_MD60,HR,2017-01-01,
PC,T,TOTAL,A_MD60,HU,2006-01-01,17
PC,T,TOTAL,A_MD60,HU,2007-01-01,17
PC,T,TOTAL,A_MD60,HU,2008-01-01,19
PC,T,TOTAL,A_MD60,HU,2009-01-01,19
PC,T,TOTAL,A_MD60,HU,2010-01-01,20
PC,T,TOTAL,A_MD60,HU,2011-01-01,21
PC,T,TOTAL,A_MD60,HU,2012-01-01,21
PC,T,TOTAL,A_MD60,HU,2013-01-01,
PC,T,TOTAL,A_MD60,HU,2014-01-01,19
PC,T,TOTAL,A_MD60,HU,2015-01-01,
PC,T,TOTAL,A_MD60,HU,2016-01-01,16
PC,T,TOTAL,A_MD60,HU,2017-01-01,16
PC,T,TOTAL,A_MD60,IE,2006-01-01,7
PC,T,TOTAL,A_MD60,IE,2007-01-01,7
PC,T,TOTAL,A_MD60,IE,2008-01-01,9
PC,T,TOTAL,A_MD60,IE,2009-01-01,9
PC,T,TOTAL,A_MD60,IE,2010-01-01,9
PC,T,TOTAL,A_MD60,IE,2011-01-01,9
PC,T,TOTAL,A_MD60,IE,2012-01-01,10
PC,T,TOTAL,A_MD60,IE,2013-01-01,
PC,T,TOTAL,A_MD60,IE,2014-01-01,10
PC,T,TOTAL,A_MD60,IE,2015-01-01,
PC,T,TOTAL,A_MD60,IE,2016-01-01,10
PC,T,TOTAL,A_MD60,IE,2017-01-01,
PC,T,TOTAL,A_MD60,IS,2006-01-01,17
PC,T,TOTAL,A_MD60,IS,2007-01-01,15
PC,T,TOTAL,A_MD60,IS,2008-01-01,15
PC,T,TOTAL,A_MD60,IS,2009-01-01,15
PC,T,TOTAL,A_MD60,IS,2010-01-01,16
PC,T,TOTAL,A_MD60,IS,2011-01-01,17
PC,T,TOTAL,A_MD60,IS,2012-01-01,15
PC,T,TOTAL,A_MD60,IS,2013-01-01,
PC,T,TOTAL,A_MD60,IS,2014-01-01,15
PC,T,TOTAL,A_MD60,IS,2015-01-01,
PC,T,TOTAL,A_MD60,IS,2016-01-01,14
PC,T,TOTAL,A_MD60,IS,2017-01-01,
PC,T,TOTAL,A_MD60,IT,2006-01-01,12
PC,T,TOTAL,A_MD60,IT,2007-01-01,10
PC,T,TOTAL,A_MD60,IT,2008-01-01,10
PC,T,TOTAL,A_MD60,IT,2009-01-01,10
PC,T,TOTAL,A_MD60,IT,2010-01-01,9
PC,T,TOTAL,A_MD60,IT,2011-01-01,9
PC,T,TOTAL,A_MD60,IT,2012-01-01,9
PC,T,TOTAL,A_MD60,IT,2013-01-01,
PC,T,TOTAL,A_MD60,IT,2014-01-01,10
PC,T,TOTAL,A_MD60,IT,2015-01-01,
PC,T,TOTAL,A_MD60,IT,2016-01-01,9
PC,T,TOTAL,A_MD60,IT,2017-01-01,8
PC,T,TOTAL,A_MD60,LT,2006-01-01,12
PC,T,TOTAL,A_MD60,LT,2007-01-01,10
PC,T,TOTAL,A_MD60,LT,2008-01-01,10
PC,T,TOTAL,A_MD60,LT,2009-01-01,10
PC,T,TOTAL,A_MD60,LT,2010-01-01,12
PC,T,TOTAL,A_MD60,LT,2011-01-01,14
PC,T,TOTAL,A_MD60,LT,2012-01-01,13
PC,T,TOTAL,A_MD60,LT,2013-01-01,
PC,T,TOTAL,A_MD60,LT,2014-01-01,12
PC,T,TOTAL,A_MD60,LT,2015-01-01,
PC,T,TOTAL,A_MD60,LT,2016-01-01,10
PC,T,TOTAL,A_MD60,LT,2017-01-01,9
PC,T,TOTAL,A_MD60,LU,2006-01-01,7
PC,T,TOTAL,A_MD60,LU,2007-01-01,8
PC,T,TOTAL,A_MD60,LU,2008-01-01,7
PC,T,TOTAL,A_MD60,LU,2009-01-01,7
PC,T,TOTAL,A_MD60,LU,2010-01-01,6
PC,T,TOTAL,A_MD60,LU,2011-01-01,6
PC,T,TOTAL,A_MD60,LU,2012-01-01,7
PC,T,TOTAL,A_MD60,LU,2013-01-01,
PC,T,TOTAL,A_MD60,LU,2014-01-01,6
PC,T,TOTAL,A_MD60,LU,2015-01-01,
PC,T,TOTAL,A_MD60,LU,2016-01-01,7
PC,T,TOTAL,A_MD60,LU,2017-01-01,7
PC,T,TOTAL,A_MD60,LV,2006-01-01,13
PC,T,TOTAL,A_MD60,LV,2007-01-01,11
PC,T,TOTAL,A_MD60,LV,2008-01-01,10
PC,T,TOTAL,A_MD60,LV,2009-01-01,10
PC,T,TOTAL,A_MD60,LV,2010-01-01,12
PC,T,TOTAL,A_MD60,LV,2011-01-01,14
PC,T,TOTAL,A_MD60,LV,2012-01-01,14
PC,T,TOTAL,A_MD60,LV,2013-01-01,
PC,T,TOTAL,A_MD60,LV,2014-01-01,12
PC,T,TOTAL,A_MD60,LV,2015-01-01,
PC,T,TOTAL,A_MD60,LV,2016-01-01,11
PC,T,TOTAL,A_MD60,LV,2017-01-01,11
PC,T,TOTAL,A_MD60,MK,2006-01-01,
PC,T,TOTAL,A_MD60,MK,2007-01-01,
PC,T,TOTAL,A_MD60,MK,2008-01-01,
PC,T,TOTAL,A_MD60,MK,2009-01-01,
PC,T,TOTAL,A_MD60,MK,2010-01-01,
PC,T,TOTAL,A_MD60,MK,2011-01-01,
PC,T,TOTAL,A_MD60,MK,2012-01-01,16
PC,T,TOTAL,A_MD60,MK,2013-01-01,
PC,T,TOTAL,A_MD60,MK,2014-01-01,16
PC,T,TOTAL,A_MD60,MK,2015-01-01,
PC,T,TOTAL,A_MD60,MK,2016-01-01,14
PC,T,TOTAL,A_MD60,MK,2017-01-01,
PC,T,TOTAL,A_MD60,MT,2006-01-01,5
PC,T,TOTAL,A_MD60,MT,2007-01-01,5
PC,T,TOTAL,A_MD60,MT,2008-01-01,5
PC,T,TOTAL,A_MD60,MT,2009-01-01,5
PC,T,TOTAL,A_MD60,MT,2010-01-01,5
PC,T,TOTAL,A_MD60,MT,2011-01-01,6
PC,T,TOTAL,A_MD60,MT,2012-01-01,6
PC,T,TOTAL,A_MD60,MT,2013-01-01,
PC,T,TOTAL,A_MD60,MT,2014-01-01,4
PC,T,TOTAL,A_MD60,MT,2015-01-01,
PC,T,TOTAL,A_MD60,MT,2016-01-01,4
PC,T,TOTAL,A_MD60,MT,2017-01-01,3
PC,T,TOTAL,A_MD60,NL,2006-01-01,27
PC,T,TOTAL,A_MD60,NL,2007-01-01,25
PC,T,TOTAL,A_MD60,NL,2008-01-01,24
PC,T,TOTAL,A_MD60,NL,2009-01-01,24
PC,T,TOTAL,A_MD60,NL,2010-01-01,24
PC,T,TOTAL,A_MD60,NL,2011-01-01,25
PC,T,TOTAL,A_MD60,NL,2012-01-01,25
PC,T,TOTAL,A_MD60,NL,2013-01-01,
PC,T,TOTAL,A_MD60,NL,2014-01-01,25
PC,T,TOTAL,A_MD60,NL,2015-01-01,
PC,T,TOTAL,A_MD60,NL,2016-01-01,18
PC,T,TOTAL,A_MD60,NL,2017-01-01,16
PC,T,TOTAL,A_MD60,NO,2006-01-01,
PC,T,TOTAL,A_MD60,NO,2007-01-01,16
PC,T,TOTAL,A_MD60,NO,2008-01-01,17
PC,T,TOTAL,A_MD60,NO,2009-01-01,17
PC,T,TOTAL,A_MD60,NO,2010-01-01,15
PC,T,TOTAL,A_MD60,NO,2011-01-01,16
PC,T,TOTAL,A_MD60,NO,2012-01-01,15
PC,T,TOTAL,A_MD60,NO,2013-01-01,
PC,T,TOTAL,A_MD60,NO,2014-01-01,13
PC,T,TOTAL,A_MD60,NO,2015-01-01,
PC,T,TOTAL,A_MD60,NO,2016-01-01,13
PC,T,TOTAL,A_MD60,NO,2017-01-01,13
PC,T,TOTAL,A_MD60,PL,2006-01-01,18
PC,T,TOTAL,A_MD60,PL,2007-01-01,17
PC,T,TOTAL,A_MD60,PL,2008-01-01,16
PC,T,TOTAL,A_MD60,PL,2009-01-01,15
PC,T,TOTAL,A_MD60,PL,2010-01-01,15
PC,T,TOTAL,A_MD60,PL,2011-01-01,16
PC,T,TOTAL,A_MD60,PL,2012-01-01,16
PC,T,TOTAL,A_MD60,PL,2013-01-01,
PC,T,TOTAL,A_MD60,PL,2014-01-01,16
PC,T,TOTAL,A_MD60,PL,2015-01-01,
PC,T,TOTAL,A_MD60,PL,2016-01-01,14
PC,T,TOTAL,A_MD60,PL,2017-01-01,13
PC,T,TOTAL,A_MD60,PT,2006-01-01,9
PC,T,TOTAL,A_MD60,PT,2007-01-01,11
PC,T,TOTAL,A_MD60,PT,2008-01-01,10
PC,T,TOTAL,A_MD60,PT,2009-01-01,9
PC,T,TOTAL,A_MD60,PT,2010-01-01,9
PC,T,TOTAL,A_MD60,PT,2011-01-01,10
PC,T,TOTAL,A_MD60,PT,2012-01-01,11
PC,T,TOTAL,A_MD60,PT,2013-01-01,
PC,T,TOTAL,A_MD60,PT,2014-01-01,11
PC,T,TOTAL,A_MD60,PT,2015-01-01,
PC,T,TOTAL,A_MD60,PT,2016-01-01,10
PC,T,TOTAL,A_MD60,PT,2017-01-01,10
PC,T,TOTAL,A_MD60,RO,2006-01-01,
PC,T,TOTAL,A_MD60,RO,2007-01-01,18
PC,T,TOTAL,A_MD60,RO,2008-01-01,20
PC,T,TOTAL,A_MD60,RO,2009-01-01,18
PC,T,TOTAL,A_MD60,RO,2010-01-01,18
PC,T,TOTAL,A_MD60,RO,2011-01-01,8
PC,T,TOTAL,A_MD60,RO,2012-01-01,19
PC,T,TOTAL,A_MD60,RO,2013-01-01,
PC,T,TOTAL,A_MD60,RO,2014-01-01,17
PC,T,TOTAL,A_MD60,RO,2015-01-01,
PC,T,TOTAL,A_MD60,RO,2016-01-01,15
PC,T,TOTAL,A_MD60,RO,2017-01-01,14
PC,T,TOTAL,A_MD60,RS,2006-01-01,
PC,T,TOTAL,A_MD60,RS,2007-01-01,
PC,T,TOTAL,A_MD60,RS,2008-01-01,
PC,T,TOTAL,A_MD60,RS,2009-01-01,
PC,T,TOTAL,A_MD60,RS,2010-01-01,
PC,T,TOTAL,A_MD60,RS,2011-01-01,
PC,T,TOTAL,A_MD60,RS,2012-01-01,
PC,T,TOTAL,A_MD60,RS,2013-01-01,
PC,T,TOTAL,A_MD60,RS,2014-01-01,25
PC,T,TOTAL,A_MD60,RS,2015-01-01,
PC,T,TOTAL,A_MD60,RS,2016-01-01,22
PC,T,TOTAL,A_MD60,RS,2017-01-01,
PC,T,TOTAL,A_MD60,SE,2006-01-01,15
PC,T,TOTAL,A_MD60,SE,2007-01-01,16
PC,T,TOTAL,A_MD60,SE,2008-01-01,18
PC,T,TOTAL,A_MD60,SE,2009-01-01,18
PC,T,TOTAL,A_MD60,SE,2010-01-01,16
PC,T,TOTAL,A_MD60,SE,2011-01-01,16
PC,T,TOTAL,A_MD60,SE,2012-01-01,16
PC,T,TOTAL,A_MD60,SE,2013-01-01,
PC,T,TOTAL,A_MD60,SE,2014-01-01,16
PC,T,TOTAL,A_MD60,SE,2015-01-01,
PC,T,TOTAL,A_MD60,SE,2016-01-01,15
PC,T,TOTAL,A_MD60,SE,2017-01-01,14
PC,T,TOTAL,A_MD60,SI,2006-01-01,9
PC,T,TOTAL,A_MD60,SI,2007-01-01,9
PC,T,TOTAL,A_MD60,SI,2008-01-01,10
PC,T,TOTAL,A_MD60,SI,2009-01-01,10
PC,T,TOTAL,A_MD60,SI,2010-01-01,10
PC,T,TOTAL,A_MD60,SI,2011-01-01,10
PC,T,TOTAL,A_MD60,SI,2012-01-01,11
PC,T,TOTAL,A_MD60,SI,2013-01-01,
PC,T,TOTAL,A_MD60,SI,2014-01-01,11
PC,T,TOTAL,A_MD60,SI,2015-01-01,
PC,T,TOTAL,A_MD60,SI,2016-01-01,10
PC,T,TOTAL,A_MD60,SI,2017-01-01,10
PC,T,TOTAL,A_MD60,SK,2006-01-01,20
PC,T,TOTAL,A_MD60,SK,2007-01-01,21
PC,T,TOTAL,A_MD60,SK,2008-01-01,14
PC,T,TOTAL,A_MD60,SK,2009-01-01,16
PC,T,TOTAL,A_MD60,SK,2010-01-01,15
PC,T,TOTAL,A_MD60,SK,2011-01-01,15
PC,T,TOTAL,A_MD60,SK,2012-01-01,15
PC,T,TOTAL,A_MD60,SK,2013-01-01,
PC,T,TOTAL,A_MD60,SK,2014-01-01,15
PC,T,TOTAL,A_MD60,SK,2015-01-01,
PC,T,TOTAL,A_MD60,SK,2016-01-01,15
PC,T,TOTAL,A_MD60,SK,2017-01-01,15
PC,T,TOTAL,A_MD60,TR,2006-01-01,14
PC,T,TOTAL,A_MD60,TR,2007-01-01,10
PC,T,TOTAL,A_MD60,TR,2008-01-01,11
PC,T,TOTAL,A_MD60,TR,2009-01-01,12
PC,T,TOTAL,A_MD60,TR,2010-01-01,12
PC,T,TOTAL,A_MD60,TR,2011-01-01,12
PC,T,TOTAL,A_MD60,TR,2012-01-01,12
PC,T,TOTAL,A_MD60,TR,2013-01-01,
PC,T,TOTAL,A_MD60,TR,2014-01-01,12
PC,T,TOTAL,A_MD60,TR,2015-01-01,
PC,T,TOTAL,A_MD60,TR,2016-01-01,
PC,T,TOTAL,A_MD60,TR,2017-01-01,
PC,T,TOTAL,A_MD60,UK,2006-01-01,19
PC,T,TOTAL,A_MD60,UK,2007-01-01,19
PC,T,TOTAL,A_MD60,UK,2008-01-01,19
PC,T,TOTAL,A_MD60,UK,2009-01-01,19
PC,T,TOTAL,A_MD60,UK,2010-01-01,19
PC,T,TOTAL,A_MD60,UK,2011-01-01,19
PC,T,TOTAL,A_MD60,UK,2012-01-01,10
PC,T,TOTAL,A_MD60,UK,2013-01-01,
PC,T,TOTAL,A_MD60,UK,2014-01-01,15
PC,T,TOTAL,A_MD60,UK,2015-01-01,
PC,T,TOTAL,A_MD60,UK,2016-01-01,14
PC,T,TOTAL,A_MD60,UK,2017-01-01,
PC,T,TOTAL,B_MD60,AT,2006-01-01,29
PC,T,TOTAL,B_MD60,AT,2007-01-01,29
PC,T,TOTAL,B_MD60,AT,2008-01-01,29
PC,T,TOTAL,B_MD60,AT,2009-01-01,29
PC,T,TOTAL,B_MD60,AT,2010-01-01,32
PC,T,TOTAL,B_MD60,AT,2011-01-01,29
PC,T,TOTAL,B_MD60,AT,2012-01-01,31
PC,T,TOTAL,B_MD60,AT,2013-01-01,
PC,T,TOTAL,B_MD60,AT,2014-01-01,31
PC,T,TOTAL,B_MD60,AT,2015-01-01,
PC,T,TOTAL,B_MD60,AT,2016-01-01,33
PC,T,TOTAL,B_MD60,AT,2017-01-01,33
PC,T,TOTAL,B_MD60,BE,2006-01-01,35
PC,T,TOTAL,B_MD60,BE,2007-01-01,34
PC,T,TOTAL,B_MD60,BE,2008-01-01,37
PC,T,TOTAL,B_MD60,BE,2009-01-01,32
PC,T,TOTAL,B_MD60,BE,2010-01-01,34
PC,T,TOTAL,B_MD60,BE,2011-01-01,36
PC,T,TOTAL,B_MD60,BE,2012-01-01,36
PC,T,TOTAL,B_MD60,BE,2013-01-01,
PC,T,TOTAL,B_MD60,BE,2014-01-01,36
PC,T,TOTAL,B_MD60,BE,2015-01-01,
PC,T,TOTAL,B_MD60,BE,2016-01-01,34
PC,T,TOTAL,B_MD60,BE,2017-01-01,33
PC,T,TOTAL,B_MD60,BG,2006-01-01,39
PC,T,TOTAL,B_MD60,BG,2007-01-01,45
PC,T,TOTAL,B_MD60,BG,2008-01-01,30
